1000 10000
372 675 5984
530 86 319
384 860 6016
352 54 4515
511 427 5746
764 655 1054
737 85 9143
425 580 28
350 596 5146
957 110 4711
345 953 2913
154 25 3696
697 801 2332
261 907 7203
68 162 4615
981 24 9922
757 133 8918
698 426 5553
591 586 5928
633 224 7400
444 606 3287
249 798 3072
390 775 6061
98 635 6027
986 295 9152
468 518 720
13 73 3020
87 187 3038
267 917 8342
443 659 9132
898 173 1664
867 267 2572
902 525 1176
672 796 2877
635 971 7641
105 758 8069
312 318 4782
334 218 830
218 876 3895
539 778 6613
2 257 2780
844 131 1802
627 960 1323
48 375 8955
479 972 9722
266 227 6219
29 866 9394
203 91 7336
579 448 6469
54 95 9872
446 745 9831
788 166 4431
484 548 4590
561 403 3570
811 629 4453
551 378 5701
335 604 5697
654 874 1356
628 947 9548
923 123 84
537 332 8548
587 921 5860
378 834 8724
938 890 1398
694 471 6128
686 475 443
997 335 4931
405 774 9461
767 964 2987
659 864 7542
95 199 8786
9 40 5811
951 606 5263
848 947 262
576 517 9675
517 572 7286
880 277 5664
182 415 6727
579 71 8314
19 341 8020
369 606 7015
436 182 5712
114 919 9755
454 329 2532
353 40 9380
634 71 5317
826 736 9147
615 297 8986
792 600 2064
586 881 2796
568 100 5020
368 663 6161
828 975 456
624 57 6846
453 973 6352
735 704 8718
334 183 9495
932 443 9814
936 776 8616
598 27 1032
294 401 637
61 45 8596
52 9 6066
211 770 3271
715 555 7217
637 912 1441
323 939 2613
754 637 3659
652 17 2070
140 544 3770
419 591 597
638 810 3549
573 544 7357
810 527 5074
872 722 3580
118 646 5666
757 778 4119
808 53 7311
14 808 8269
653 570 6568
592 349 7246
542 638 279
632 260 4660
796 904 1468
547 749 8842
806 689 3485
300 543 7358
431 741 7601
488 452 4736
781 640 9988
928 54 8344
12 11 2963
165 772 5663
904 326 9494
424 43 8436
282 236 9246
197 841 2264
157 987 7155
120 653 1197
332 609 5031
184 464 9883
219 634 3865
646 180 956
413 1 5469
993 152 1160
885 590 6331
754 203 9584
424 737 8650
596 663 732
814 333 7147
398 924 8729
66 833 8650
507 575 7247
204 302 3493
642 252 501
356 433 7466
111 136 5272
307 886 6874
770 296 5165
779 524 7391
811 384 8449
414 669 9571
766 184 7284
262 922 9409
668 188 3935
886 877 5931
487 598 832
393 380 2878
843 900 5018
862 283 4320
297 684 3766
418 487 6465
715 940 9661
395 245 2018
328 56 6849
467 568 3256
545 579 7162
414 62 2369
401 492 3884
653 181 2135
822 205 7090
513 898 5811
257 858 2594
675 118 8351
812 909 7305
88 229 9775
603 376 6720
963 770 2081
874 991 745
640 159 6963
203 30 4647
422 75 3662
261 712 3417
25 376 8739
806 730 3607
238 338 4869
414 229 2744
711 939 1220
347 22 6333
589 543 4061
909 586 90
659 398 367
344 671 2813
936 148 9583
445 201 7067
185 256 1354
929 704 6287
819 831 8788
287 881 9849
823 531 518
263 720 8273
747 355 5051
447 644 2117
575 918 4495
685 182 4801
997 170 3569
145 475 3627
426 62 9605
683 829 9862
768 457 265
604 943 8506
548 124 8901
839 682 5040
138 405 2894
930 444 4971
260 792 7084
170 362 2832
333 123 1106
276 434 4584
460 963 8757
201 609 7483
216 296 3707
417 503 3042
395 309 8176
667 0 9264
877 141 3582
156 761 8392
685 478 5612
765 276 3397
476 87 1225
846 158 8068
972 979 849
761 649 4617
817 867 3283
77 527 558
726 559 7393
488 534 9858
254 247 2398
68 829 6961
4 234 9305
857 341 7322
617 122 8554
708 643 7169
628 921 1628
159 407 5719
470 102 5385
920 983 8392
225 871 3352
448 22 1803
457 636 5340
469 263 5719
621 66 7156
855 238 6426
816 757 17
343 121 3606
128 427 3376
492 322 5381
953 245 4849
922 979 8905
61 155 7415
207 806 5133
104 529 5722
613 784 1356
599 595 4180
631 618 7559
607 714 526
439 902 7631
346 799 3849
793 925 5647
715 667 9674
849 323 1431
123 578 8130
363 947 3860
466 82 4425
941 929 2415
865 69 6813
519 278 8221
592 324 1308
131 544 1734
560 666 2661
100 248 7695
338 841 1132
416 945 9789
224 85 6243
629 350 5758
477 508 7881
689 149 8779
413 534 8490
70 616 6631
984 744 2305
355 305 4893
100 651 8902
56 159 8828
602 644 486
653 192 1619
838 314 7351
443 849 7440
669 40 5894
683 252 4416
787 731 5467
180 648 7791
926 653 7590
822 865 4688
327 469 9966
548 391 2154
331 179 7043
128 314 2177
33 837 5297
539 351 4298
196 124 3409
329 70 9159
527 697 6161
989 834 9232
309 869 1040
183 928 3545
510 994 3064
199 939 3970
522 389 2718
718 704 2339
308 759 2118
689 807 8020
759 627 5588
535 406 4854
495 156 3894
78 261 9879
170 329 826
539 740 375
187 153 7717
301 36 2056
746 83 3214
418 897 2045
623 330 9427
214 96 3796
838 242 7422
932 298 2842
195 38 8849
563 296 3531
466 891 4898
782 71 9323
6 309 1800
262 695 1287
248 839 3938
586 726 6544
163 340 1799
521 975 5015
403 922 4060
268 799 3955
299 7 1922
892 460 2669
781 498 2691
816 667 4815
487 317 6541
527 565 396
369 534 1054
901 933 4897
610 578 8750
487 282 7118
361 242 6779
376 857 7164
537 825 4909
168 719 8099
161 463 3876
377 6 9795
321 234 6187
215 155 4006
523 770 8497
329 430 9290
549 303 4918
975 319 6904
420 99 3262
628 360 3650
253 390 9208
610 658 5606
521 772 9231
705 582 8097
569 993 4415
964 536 6154
778 485 7001
270 535 5351
711 900 2331
175 608 7317
48 783 9599
652 302 2483
608 402 4039
982 322 707
559 125 9537
110 606 4371
115 201 4254
965 382 5647
632 405 9341
799 555 8779
904 561 2307
482 371 2535
984 15 8235
656 74 1492
411 318 275
590 827 4498
381 300 8283
680 892 3071
731 997 7849
978 973 6320
548 267 4846
25 393 5538
350 950 9560
595 850 2497
20 624 1178
12 494 2655
986 820 1690
985 276 3925
459 146 8984
724 626 539
203 803 9927
425 868 4502
22 521 9172
968 972 3132
310 722 3712
205 261 6988
263 548 7757
428 143 6197
951 652 5621
70 379 7938
640 477 1842
804 204 4917
670 81 8457
683 686 8335
785 458 559
740 419 9970
960 237 1243
366 823 8869
216 461 4956
437 67 6951
769 894 4411
920 581 5688
299 414 5546
959 764 4754
981 321 7249
12 891 2860
714 289 6344
866 683 6753
323 401 7786
22 631 6974
835 726 8360
137 404 7765
614 569 3213
350 506 5885
688 555 6349
966 590 8772
696 41 2839
785 985 6220
469 758 8317
932 142 604
650 18 4096
762 572 9738
581 153 6748
256 691 976
976 926 3954
69 774 5965
291 600 2009
537 178 3023
659 791 6131
757 257 2476
802 487 7428
191 359 8123
571 29 9310
878 291 6807
493 662 3382
960 130 3007
509 946 7867
3 760 29
735 896 403
934 411 5278
708 989 1314
573 992 6217
605 192 6432
46 88 8501
288 502 8496
426 748 2347
899 287 2632
583 502 874
815 749 8749
329 738 6908
116 314 7014
571 691 6724
618 355 5610
863 614 1069
658 791 4471
480 432 5697
170 929 5658
362 347 5571
928 331 6109
884 3 3226
502 993 3155
617 323 4551
36 170 4686
302 299 7633
574 72 7505
548 828 402
845 276 5682
643 20 2143
921 241 7681
518 896 2548
344 243 5465
501 665 988
818 811 7827
690 998 8705
77 5 1431
697 30 8409
68 70 680
360 731 2735
241 119 4189
522 580 3616
500 805 3067
666 676 8786
876 772 5086
558 292 9182
533 291 9435
981 409 3105
817 744 8667
734 294 9115
128 176 578
805 980 5916
997 59 2244
669 137 6595
107 476 5830
497 756 8532
832 936 7843
53 179 2421
741 348 1397
580 568 8865
444 293 6318
73 320 5092
326 730 8232
401 348 7464
194 667 7468
938 416 1109
357 242 5572
748 170 6598
746 927 4117
443 440 9698
464 710 8570
334 885 1722
126 242 2016
320 939 1771
774 223 3369
348 611 7748
544 845 7678
808 108 1465
151 304 3397
290 349 2248
571 621 8786
685 526 9524
331 708 237
89 265 8271
110 625 2712
409 31 882
315 792 1501
46 463 5015
230 885 5749
194 383 5004
4 132 1057
861 825 2022
196 330 2751
538 722 8211
946 419 6831
919 202 639
641 931 8051
540 413 6470
16 735 8927
857 131 1941
244 51 1477
359 956 2429
853 487 8116
817 926 175
897 560 767
743 913 4496
206 61 2989
646 516 3143
642 159 4657
522 812 2189
459 581 3261
966 725 8491
215 692 9632
988 921 6076
711 823 2110
484 109 2308
310 263 9898
134 781 7499
157 593 1871
426 459 9750
86 384 642
744 790 5276
461 304 7259
336 98 5093
260 288 3121
440 690 4285
439 138 2174
901 681 7051
955 333 148
628 953 9296
37 530 1428
151 162 714
832 517 5718
9 730 2453
40 667 4926
304 633 9397
815 562 9643
55 414 2689
798 865 1381
695 876 3479
696 763 2902
703 227 2909
8 605 2407
616 134 7300
301 83 9242
253 667 2989
650 721 8334
453 526 94
30 553 2268
364 261 6201
370 1 9519
330 149 5858
64 143 2618
612 188 3621
743 166 8554
334 722 761
105 959 4753
233 301 2184
224 269 1105
501 941 6562
985 943 9155
868 291 6701
372 58 1729
523 219 6437
865 755 9840
548 944 458
934 584 3122
353 43 8375
512 320 9300
51 579 9656
419 296 7891
260 708 808
492 377 1946
983 218 906
543 397 5116
200 5 542
925 967 5365
100 144 7800
304 730 3110
544 464 7358
386 896 9958
317 603 3386
162 25 3272
906 494 7399
293 50 1554
37 746 884
295 577 133
654 505 3441
885 654 3197
137 535 7178
875 170 3671
974 648 8072
142 922 8828
618 761 4930
486 722 9158
316 844 1957
777 431 4769
278 516 7076
320 162 1900
94 432 1732
657 842 6620
688 339 6359
337 778 7171
825 431 1942
452 854 1678
742 255 344
850 183 1721
838 917 1939
153 252 7592
961 141 3892
275 876 4732
793 226 4449
240 118 6035
526 131 5302
89 263 6377
168 622 2433
584 296 6765
689 358 9656
91 413 8820
790 984 9734
152 724 87
852 485 2651
531 107 1972
365 130 3886
856 277 3312
284 428 7216
277 957 3796
251 111 1299
615 450 8324
113 564 2264
768 699 3
502 463 8095
334 34 7600
635 263 2629
7 201 5326
290 772 2023
785 192 6545
729 259 7915
601 961 1610
74 903 8979
46 282 750
592 855 9151
703 901 5239
550 499 7703
263 853 5764
439 197 7987
299 111 7779
372 792 9507
539 160 8861
513 316 7676
1 936 6708
650 582 2680
424 555 8884
347 437 4561
333 909 8316
362 321 6150
360 92 7579
623 844 9215
957 80 1380
600 449 8698
823 276 1059
338 30 3400
822 212 2646
184 807 7026
542 49 9693
401 648 6626
695 314 7209
381 353 4921
138 774 2839
265 131 13
32 998 8606
197 724 1435
96 345 7618
148 323 7316
514 581 9997
70 955 4196
923 321 3121
496 982 1092
222 671 4054
729 489 3139
866 38 8267
272 741 5707
732 784 8808
976 322 4831
54 158 3114
660 231 8375
187 427 8769
194 495 8243
26 470 8185
57 830 9644
798 829 3825
391 154 3442
436 77 9701
29 96 8670
335 954 34
711 687 8505
199 323 7507
410 582 1866
119 475 9704
594 795 3895
842 923 5134
876 972 6976
481 897 7865
673 643 7918
958 286 1325
59 246 207
796 611 9595
931 83 4807
824 981 587
257 846 7354
207 478 1836
875 819 4304
285 80 7014
405 43 690
336 934 9862
498 309 7737
612 744 7791
184 441 9267
683 198 3394
498 686 3485
296 103 2479
499 742 5330
495 357 3498
179 642 8221
359 496 6387
34 44 4997
726 871 3570
378 719 1993
480 490 4291
560 936 8801
644 383 6150
225 59 4340
824 907 1065
754 916 9952
640 712 3061
479 735 8551
684 667 2888
427 61 6309
848 303 657
264 615 7504
670 795 2495
788 680 2309
845 335 913
664 87 2006
860 498 359
2 136 7052
811 931 4673
636 744 3415
550 266 3277
734 524 7942
974 977 9230
604 975 1967
607 182 8080
691 47 8293
1 812 6264
396 880 3309
403 597 6060
169 444 3336
625 595 7910
548 427 4378
14 858 9946
336 970 8155
173 659 3082
499 525 3634
520 40 1587
468 677 2743
585 549 3001
855 482 3508
498 32 5209
618 900 1327
347 385 4723
419 300 1038
149 675 3250
424 648 4369
665 81 412
422 824 9348
359 376 7440
403 48 3288
412 939 1241
894 74 8041
945 572 1324
472 615 4975
909 595 3644
89 861 6289
619 617 8215
953 83 3070
949 475 9862
694 226 3156
711 569 5431
342 146 1684
765 837 1211
631 652 3325
304 287 583
103 529 2544
594 521 713
132 338 4137
419 196 4828
189 582 8852
551 502 1130
381 875 6660
186 523 5441
943 574 7166
176 980 5552
503 395 4660
772 959 4358
205 475 4585
404 674 9373
7 799 8029
933 830 5994
488 482 7767
30 858 611
813 682 8653
505 823 5123
486 533 6613
237 208 8326
877 462 8572
938 448 2058
253 874 8665
254 715 1067
905 730 965
77 693 6430
857 26 7044
886 173 1216
695 147 1030
69 114 8835
788 135 9788
400 612 5797
949 548 9063
773 307 9094
901 637 4599
571 997 3948
793 644 8776
997 499 7475
574 906 1819
230 550 2899
711 957 2448
834 739 8409
860 706 8933
751 84 3026
426 690 8417
192 177 9786
240 390 8743
278 982 6349
358 124 9977
953 686 977
74 402 1681
251 140 3148
946 359 8982
878 127 7205
116 749 8654
132 57 5007
189 259 8290
81 221 4381
261 49 4023
98 146 4297
381 56 7608
1 155 987
319 50 4583
492 188 8162
867 804 6240
26 915 6869
517 937 7438
259 732 5491
133 777 8977
883 643 9075
182 910 6156
66 891 5224
43 906 3141
560 820 9282
595 283 3945
910 607 6604
631 241 6457
266 858 3767
742 25 8845
26 676 3890
49 921 2687
222 73 7701
263 103 1519
612 346 8006
625 946 6092
566 158 890
471 832 1164
827 807 6442
812 483 4189
257 106 6426
140 366 8193
291 420 828
309 21 2809
313 118 3261
348 126 6018
312 20 7542
470 855 2657
962 587 8983
722 928 2424
250 75 1222
361 798 4164
566 224 6027
784 930 9469
321 625 1029
986 956 6155
735 536 2966
455 314 116
700 569 5946
646 18 8258
370 690 4602
108 123 9586
96 825 7936
393 846 8114
919 536 8162
135 94 2122
349 757 8209
533 355 4005
772 872 2243
736 26 1749
28 640 7931
407 917 2555
153 489 506
521 601 6617
838 678 4591
194 872 2610
575 527 6512
495 665 3974
821 785 1484
40 38 575
949 957 9267
332 334 8129
622 77 4319
22 675 4050
726 259 3013
586 287 1926
314 520 9061
354 194 466
58 748 1949
292 298 8659
191 991 8235
436 49 2584
944 862 1023
989 34 4028
868 722 1316
382 226 6487
411 804 2221
742 825 1386
756 387 5250
83 316 7093
509 392 4889
890 300 2490
629 459 4143
238 560 3770
286 944 1413
559 719 3127
112 819 104
900 526 6741
21 194 3753
24 490 9854
53 825 4556
752 936 1253
58 59 4131
538 388 8047
465 429 9288
441 594 7898
336 503 8352
105 188 9999
257 209 887
251 774 8652
799 657 6056
15 620 2379
683 93 584
12 955 9944
272 266 2708
372 155 1555
589 148 5552
238 260 30
477 911 1293
883 598 4885
906 10 4782
376 75 2049
82 592 78
796 870 8149
657 440 2051
135 47 8196
169 116 4746
227 531 3917
247 103 8150
297 127 6397
518 120 8728
737 617 9283
876 705 3398
940 834 4993
904 165 9951
623 321 9867
467 400 2654
131 679 5784
688 159 3882
861 357 3012
206 168 9146
375 316 3231
677 913 8421
359 425 6702
293 45 3519
648 456 2251
385 972 5823
219 646 7131
996 853 305
560 952 662
937 155 2741
663 728 4104
310 537 505
72 558 1732
306 307 4826
807 568 6465
612 743 3017
883 535 7651
475 832 2188
922 406 9499
470 764 7150
184 377 223
548 988 4179
10 353 8640
760 342 6222
668 52 4048
617 448 4900
214 276 9724
248 244 9452
389 166 8902
13 624 3441
714 929 5295
575 42 2381
854 701 5568
314 863 8921
789 674 3263
374 565 4903
10 851 6416
507 854 8672
896 72 576
173 293 6040
498 441 9914
349 953 1141
328 557 1108
336 315 7899
543 812 7410
250 725 5928
343 437 3922
738 284 1848
467 240 2476
687 294 6249
541 563 625
723 234 3799
256 560 7326
557 659 6899
849 250 3050
170 402 242
434 716 2916
432 327 6982
690 168 4326
260 938 4147
259 40 4977
142 555 4920
362 298 3133
181 574 2936
992 497 9161
181 79 167
857 359 5226
256 597 4577
169 907 4848
768 291 343
654 650 2914
454 4 2470
210 603 6098
788 127 952
297 291 1997
427 314 3877
264 141 3306
611 863 8962
225 177 1480
67 859 5075
546 173 6506
904 731 2110
356 437 3735
75 625 59
79 973 2804
689 761 5142
710 58 9225
129 639 7806
62 302 3608
571 70 1771
366 51 4886
603 885 2603
418 264 3216
827 554 912
969 204 4166
985 750 8261
83 668 7599
844 197 6193
30 493 411
554 446 6276
23 847 6210
973 447 2049
877 208 2250
332 901 9144
321 395 1024
834 83 2392
270 390 8886
127 372 7294
739 27 2690
297 653 6273
382 458 4138
327 931 7285
194 246 302
315 707 6829
261 323 6713
13 54 6763
880 639 1301
97 232 9157
554 346 9260
923 646 9373
825 28 5627
792 882 4273
738 191 6276
606 122 9552
539 26 9625
126 865 6095
132 5 9487
876 834 1066
279 109 9029
877 902 2125
344 28 8816
512 94 3935
247 142 4095
474 475 459
19 565 4622
21 645 5484
198 745 7143
849 161 816
38 757 7513
539 954 7523
739 304 7355
671 312 8431
503 460 7353
322 57 6674
512 286 2851
679 619 405
985 641 9924
260 306 8886
62 885 8910
228 846 8245
7 253 3507
363 15 6775
786 20 7820
676 930 7315
25 641 8564
696 339 9723
987 985 1361
775 424 2141
136 269 8201
730 324 6591
345 167 7900
226 419 6549
850 671 3707
578 794 1600
125 450 3371
64 860 8979
889 964 1715
174 70 7211
608 358 6907
292 4 7704
614 360 6019
953 229 7058
850 556 8091
392 602 8335
488 856 7800
873 485 2828
955 675 1968
729 432 4707
423 290 8627
637 523 4766
784 539 2039
503 403 7272
906 312 9101
994 287 1747
996 889 708
385 510 4575
207 78 589
86 617 2930
226 475 9850
225 603 2006
717 148 5167
270 914 1337
609 250 3736
610 11 6441
40 562 3427
710 312 9815
978 776 6017
804 676 8358
992 974 6724
219 932 7968
208 279 8293
48 259 4652
444 777 3537
97 61 541
506 330 1171
889 531 7721
622 807 6235
521 520 630
157 316 6908
12 101 6916
85 139 2256
805 389 7503
410 144 5673
682 453 9203
822 155 7054
137 512 2645
602 688 9603
586 550 2786
486 863 6942
289 925 9100
158 673 5054
959 744 8593
528 773 2808
49 404 5739
475 992 7225
281 111 4797
76 887 1517
399 153 3026
801 360 8812
840 277 2649
8 156 5502
773 88 3171
245 621 977
665 307 8973
738 470 9450
248 725 3124
457 20 592
974 715 9477
98 181 5786
708 628 1070
74 167 2332
926 815 3435
347 270 7174
203 173 878
440 958 5961
740 560 8104
390 537 4486
169 933 1694
715 283 377
11 302 3334
537 990 3895
289 211 4097
201 129 4816
863 734 8049
533 518 1918
230 576 8879
611 342 4365
588 466 9236
741 353 4914
359 8 2877
766 722 8
871 636 6588
609 572 85
154 908 8470
866 769 9741
360 47 3312
164 242 7207
129 957 6331
448 347 5262
798 133 6603
116 905 1267
556 721 9265
833 158 1256
370 789 958
107 993 2614
835 248 8458
601 808 8528
33 553 3979
604 813 691
798 926 929
289 514 8577
138 40 882
911 193 4984
134 268 792
959 765 3775
902 297 2167
989 467 9119
530 158 6567
822 403 1597
696 469 6481
719 132 1522
484 225 451
345 792 9435
474 687 5168
314 407 5353
995 968 9445
599 875 5370
454 105 2189
976 868 4561
250 331 8458
638 695 1938
446 407 4318
737 107 6569
531 627 2544
547 958 6757
815 111 9597
829 38 9015
169 236 9890
423 7 3757
375 390 4922
387 350 5671
962 488 2385
188 366 2299
993 678 5622
777 247 8202
182 772 8784
533 46 8948
998 61 692
897 796 3340
881 652 2524
720 567 59
228 813 8303
892 289 4276
21 447 2304
449 470 6013
191 12 9367
533 683 3902
592 358 7981
11 451 4866
139 134 9890
227 924 1021
10 944 6192
166 954 2591
908 509 7740
243 698 2517
303 571 7823
675 633 8494
196 511 3684
429 733 6961
277 284 2453
720 522 7747
361 44 4771
325 353 5168
175 895 6942
911 986 6817
527 597 3631
897 606 7607
388 145 955
515 644 9616
491 409 7474
48 653 3162
678 718 8211
26 910 5588
428 82 6013
186 882 3009
944 639 2788
805 539 7113
344 954 2492
834 318 6126
827 64 8305
592 949 8648
378 487 8978
958 860 6987
246 524 2358
916 251 9115
317 414 7520
486 449 6532
293 795 6974
904 676 7914
192 299 938
236 789 9016
408 791 4555
729 801 7134
782 538 4400
823 299 6076
868 633 2721
218 280 8719
185 991 7120
463 126 9113
874 229 4478
23 517 8070
483 112 1268
88 606 6865
140 315 7333
33 589 5182
590 155 4834
398 993 1726
971 842 6498
939 446 5313
581 663 2679
918 917 3264
806 981 8124
664 29 8654
991 444 7530
259 730 6937
934 639 637
425 342 1901
612 345 7821
421 665 8522
716 342 5140
34 94 929
234 698 4571
728 452 5826
80 74 9244
802 491 87
546 380 6940
969 713 6194
389 405 2633
504 56 3969
82 441 5448
487 266 6533
292 735 6025
328 205 7302
423 321 1395
648 920 7536
253 587 7394
275 923 2362
969 0 8901
679 342 585
942 367 8587
567 322 1770
641 456 762
83 695 7236
39 600 2075
306 1 6016
901 879 1184
151 302 9031
771 931 9084
322 768 4721
401 44 7002
107 656 1735
459 745 5464
591 363 3525
679 13 6431
252 307 6202
167 403 3826
444 154 9597
650 557 3469
294 77 5442
93 632 425
575 129 9635
361 296 771
706 352 8641
581 840 1928
103 552 2736
407 812 7039
802 89 7744
434 772 3852
937 558 5338
412 921 2989
73 156 9548
571 774 3630
564 539 4314
901 928 3210
401 169 3958
590 905 6041
277 343 7055
776 985 249
389 962 7193
404 494 1118
73 20 8245
402 874 9629
448 853 9846
840 414 2595
27 26 5858
705 480 9327
331 632 1470
238 394 574
971 159 2941
395 172 8958
605 800 9327
112 469 2759
440 204 4307
976 573 1803
343 476 151
271 269 7840
6 683 6657
757 611 1407
922 812 310
666 552 7082
46 291 2490
619 294 2261
197 64 5161
387 993 7594
704 967 1153
767 386 8348
231 445 6097
750 936 3773
201 68 1997
964 826 4777
357 967 1194
235 414 6371
295 547 6127
113 182 8536
226 911 600
661 54 5699
505 511 7692
18 895 7298
116 156 1138
94 863 8303
103 748 8168
150 304 779
45 942 7535
744 600 8147
55 993 75
844 945 3288
454 203 5298
476 174 7548
722 99 2499
451 241 8948
647 203 4976
827 18 3018
929 42 1150
403 284 838
964 820 9061
360 501 4706
802 409 5050
489 578 2400
790 409 3480
225 363 210
714 206 8288
606 319 6791
919 289 7623
323 799 6376
752 713 281
396 439 302
618 709 913
272 443 3992
916 456 9725
399 890 9249
715 397 2327
604 605 3954
417 77 8364
365 852 3792
881 950 6876
395 325 4085
431 339 5802
891 767 7247
635 602 1667
717 420 6525
107 19 2346
242 23 2761
422 994 4322
595 648 6590
600 607 38
238 557 4158
907 296 54
489 680 7412
927 821 1540
90 316 4566
995 600 358
335 570 6526
558 163 8272
530 920 8388
119 298 5708
278 923 3269
144 732 2413
843 924 8173
170 47 4886
333 514 5435
783 643 5195
17 738 5777
828 670 8431
833 771 9778
45 545 5524
584 861 9588
549 896 8836
213 596 1015
130 778 1457
453 712 7859
920 985 5044
372 894 7298
807 889 1115
269 408 3979
538 699 9763
212 10 2526
807 882 7653
448 627 5965
140 282 8502
415 802 6492
329 440 5020
30 602 3004
404 659 2398
229 582 6122
457 704 1402
509 99 2249
665 829 8753
96 912 7559
822 274 3161
796 26 5766
680 470 1689
378 400 5305
838 632 7361
958 109 1512
817 419 971
660 232 6884
775 648 1185
338 76 2808
700 417 8327
217 246 3940
802 338 3221
193 343 3864
432 521 9763
944 379 8483
401 177 8210
137 637 265
141 561 6861
9 667 7359
572 29 2173
194 213 2256
541 838 6927
708 941 5850
275 557 8302
676 800 9844
72 320 2638
138 975 2344
738 343 9804
986 617 4856
355 892 441
168 390 3109
777 354 9062
998 797 5029
996 309 1591
910 114 1658
918 668 441
175 896 2177
810 60 6495
24 94 124
783 476 6679
315 692 7938
881 419 8619
766 378 3018
219 844 3840
286 429 9358
471 169 6915
402 187 1450
783 619 19
139 110 8443
400 719 3814
921 699 1458
35 375 5204
723 282 8786
825 798 4449
532 178 624
819 559 9550
340 596 5519
762 105 4561
778 323 4479
541 997 9955
335 90 4787
626 401 3583
607 781 8008
610 89 8713
552 1 5555
305 57 6638
120 642 3765
508 535 8501
416 250 892
524 125 8265
677 389 7258
181 121 9064
922 88 4785
577 635 634
445 824 3879
516 98 4826
852 439 4258
653 186 705
370 164 86
487 330 4633
315 997 2002
801 48 7677
35 884 4357
631 333 9712
597 78 7115
521 757 8509
484 341 6800
196 476 4240
150 984 9480
77 451 1469
399 371 6566
783 295 5564
187 950 2629
600 868 2147
110 918 5312
588 201 436
363 485 9185
729 240 6291
786 61 6439
721 835 2049
853 428 1284
351 668 7163
668 850 7386
193 165 5089
979 126 5998
302 98 7357
840 923 3774
101 875 4408
76 382 9926
146 480 6348
16 839 6105
478 73 76
165 815 2719
838 614 2253
418 861 602
311 1 5989
204 938 7366
618 230 6260
627 117 5740
3 634 2937
930 442 791
192 569 6665
246 969 6066
74 186 6625
968 942 7553
702 777 9981
699 161 2846
146 797 3873
79 262 9109
52 209 4041
48 818 8902
809 68 1501
156 272 4018
353 574 1616
192 690 2551
998 190 8244
824 415 608
453 466 509
664 716 7442
333 176 8921
514 32 7130
216 35 8202
917 833 3283
619 345 7337
519 737 5079
527 433 9959
564 179 1066
810 121 187
499 155 9537
951 279 7417
570 46 208
153 843 2513
446 949 1940
924 79 2074
430 291 2678
853 774 694
831 204 768
156 926 9072
536 632 3885
111 162 4178
935 423 2678
483 291 2671
70 103 3731
67 418 1518
358 110 202
809 641 8334
567 767 219
480 912 4865
477 781 5444
488 876 8668
708 306 1466
110 650 7339
991 389 233
922 538 2096
931 491 3492
963 703 91
642 592 3744
989 364 3800
810 55 2616
93 877 8321
762 675 1523
204 73 7273
990 574 3718
15 722 3176
651 173 3554
873 764 268
642 186 1257
215 85 7165
120 417 3030
117 778 334
350 420 6391
740 373 3225
310 191 9795
373 890 7314
237 320 6668
570 463 638
894 120 807
311 520 1494
564 867 504
538 494 5974
725 158 4655
918 268 8670
125 170 940
58 441 5519
583 994 2641
97 814 1562
45 663 7994
759 987 288
495 597 3298
24 573 5970
697 562 2750
189 523 4928
106 723 7259
191 395 4917
834 744 8234
757 834 8937
664 8 6564
855 125 8095
817 922 3308
906 664 9602
809 992 4806
183 56 249
549 916 5781
608 262 2399
252 420 273
403 345 6659
191 370 6008
533 514 4928
395 283 1880
891 779 2796
548 621 4261
754 698 5009
179 375 5520
822 977 9022
440 431 6211
498 324 1501
828 545 5331
536 368 8264
569 273 3201
566 181 6191
737 526 1049
865 619 4974
659 706 488
622 117 9767
905 793 2106
835 205 540
291 708 4677
993 388 5481
284 760 4763
343 997 5304
257 0 9915
583 907 3152
435 552 2568
619 914 6309
863 724 8859
596 579 8745
877 964 5679
559 540 1953
396 417 3352
257 397 6949
777 666 2671
98 30 7818
674 251 7521
418 813 217
941 66 5536
461 953 8685
657 843 2508
148 35 9
340 860 6112
768 217 7926
435 875 9024
345 162 537
897 808 5777
980 686 1471
827 851 9579
889 173 6093
300 705 4158
2 189 33
535 411 195
107 93 4633
179 144 7413
500 960 3174
367 927 6407
336 274 5259
904 670 1474
816 165 471
56 140 2847
422 490 3706
438 606 8078
198 61 8326
849 547 8686
173 32 9236
847 25 5829
485 625 7991
938 876 6786
745 543 1919
19 935 8956
883 523 6798
441 373 5890
950 538 9024
588 642 8807
921 648 7270
186 902 8023
692 249 46
898 474 9541
575 149 1057
698 651 9560
160 264 4314
285 742 138
312 844 2908
625 516 4009
368 616 9896
854 179 2250
799 529 7643
766 430 9031
628 381 1482
880 667 9950
914 419 5061
393 604 5080
565 854 4710
566 922 5912
16 804 2904
184 621 5752
469 412 3666
834 314 7909
643 994 5190
831 677 9078
323 454 4955
914 597 9854
578 266 8332
784 728 16
35 765 2452
165 190 8429
260 174 1215
321 911 820
172 566 3494
758 69 3337
289 760 3167
806 11 5431
218 87 878
288 78 2482
458 195 8021
699 53 7426
103 560 5433
794 223 7518
48 106 1879
121 500 2798
163 817 416
102 746 2749
936 977 8803
122 220 6223
789 898 7259
853 438 6196
164 285 8904
633 628 9145
705 899 4767
403 753 9283
495 144 887
505 64 4951
554 560 2828
896 311 8317
253 612 6458
881 964 3973
188 392 7967
